Resumption of the session	Reinício da sessão
I do not know what Syria and Israel will want or be able to do in reality, but I do know that our institution can do a lot and it is time that it attached the same importance to peoples' lives as it does to the ballasts of the cold, colourless, artificial neon bulbs in our lamps, which can illuminate houses but not the world in the third millennium.	Não sei o que a Síria e Israel quererão e poderão realmente fazer, mas sei que a nossa instituição poderá fazer muito e já era altura de se ocupar da vida das pessoas com a mesma ênfase com que pensa nos balastros dos néons tão frios quanto amorfos e artificiais das nossas lâmpadas, que podem iluminar uma casa, mas não certamente o mundo do terceiro milénio.
Mr President, the Israeli author, Amos Oz, managed to capture very aptly the icy atmosphere at the negotiating table between the Israelis and Syrians recently.	Senhor Presidente, um destes dias, o autor israelita Amos Oz descreveu de forma incisiva o ambiente glacial das negociações entre Israelitas e Sírios.
He was under the impression that the Syrians thought that, in exchange for the Golan Heights, all they had to do was to fax the Israelis a receipt.	Amos Oz ficou com a ideia de que os Sírios consideravam que, em troca dos Montes Golã, os Israelitas precisavam apenas de lhes enviar por fax um aviso de recepção.
Oz' s impression is also echoed in the Israeli press. It contrasts Prime Minister Barak' s personal peace efforts and the distant attitude, even physical absence, of the strong man of Damascus, President Assad, at the negotiations in the United States.	Essa ideia está igualmente patente na imprensa israelita, que aponta para o contraste entre os esforços de paz pessoalmente envidados pelo Primeiro-Ministro Ehud Barak e a atitude distante, a ausência física do homem forte de Damasco, o Presidente Assad, à mesa das negociações.
Surely Assad would be Barak' s ideal negotiating partner and not the Foreign Affairs Minister.	Assad devia ser, pessoalmente, o interlocutor de Ehud Barak e não o seu Ministro dos Negócios Estrangeiros.
And the Israelis were certainly not impressed by the discourteous behaviour of Minister Farouk al-Shara in Shepherdstown.	A actuação grosseira por parte do Ministro Farouk al-Shara em Shepherdstown é totalmente inaceitável para os Israelitas.
His behaviour towards Prime Minister Ehud Barak was plainly insulting.	A sua atitude face ao Primeiro-Ministro Ehud Barak foi manifestamente insultuosa.
But why pay attention to such detail as basic diplomatic niceties in the face of a tough negotiation process over territory?	Qual a razão desta atenção para as formas de conduta diplomática elementares num árduo processo de negociações territoriais?
Well, the Syrians are quite possibly cutting off their nose to spite their face.	Ora, os Sírios estão, por assim dizer, a partir as suas próprias telhas.
At the end of the day, Israeli voters can still express an opinion on the return of the Golan.	Afinal de contas, os eleitores israelitas podem ainda pronunciar-se a favor da devolução dos Montes Golã.
All the resolutions submitted express the sincere wish for greater European involvement in the peace process.	Todas as resoluções apresentadas expressam o profundo desejo de que a Europa desempenhe um papel mais relevante no processo de paz.
It is, however, very much in doubt whether Brussels can make available the billions of dollars which the Israeli and Syrian authorities require from their peace patron, the United States, not to mention the heavy, equally costly, security guarantees in case of an Israeli withdrawal from the Golan.	Porém, é muito incerto se Bruxelas poderá disponibilizar os milhares de milhões de dólares que as autoridades israelitas e sírias desejam receber do seu padroeiro da paz, os Estados Unidos da América - e isto para já não falar das pesadas e também muito onerosas garantias de segurança, no caso de haver uma retirada israelita de Golã.
I would like to finish off by asking the European Council and Commission a question. How accurate are the press reports which state that the Portuguese Presidency has already pledged troops as a peacekeeping force in the Golan?	Por último, gostaria de fazer uma pergunta ao Conselho Europeu e à Comissão, que vai no sentido de saber até que ponto são verdadeiras as notícias divulgadas pela imprensa segundo as quais a Presidência portuguesa já se teria comprometido a enviar uma força de paz para Golã.
Mr President, the truth is that the news of the indefinite suspension or delay of the talks between Syria and Israel is not good news, but nor is it good news that the day before yesterday there was another bomb attack which injured 16 people.	Senhor Presidente, a notícia da suspensão ou do adiamento sine die das conversações entre Sírios e Israelitas não constitui, essa é a verdade, uma boa notícia, como também não é uma boa notícia o facto de se ter registado anteontem, mais uma vez, um atentado bombista de que resultaram 16 feridos.
